
=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======

=======police bobik=======

=======images with obj=======
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112423_HDR.jpg, mathes: 35954, good: 365, delta: 35589, time/size: 67.2842627976 sec, localization error: 160.043474254
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112426_HDR.jpg, mathes: 35954, good: 365, delta: 35589, time/size: 57.9818541362 sec, localization error: 259.717195329
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112430_HDR.jpg, mathes: 35954, good: 368, delta: 35586, time/size: 58.5029007527 sec, localization error: 474.584017853
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112433_HDR.jpg, mathes: 35954, good: 355, delta: 35599, time/size: 43.3156645247 sec, localization error: 463.946851966
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112437_HDR.jpg, mathes: 35954, good: 368, delta: 35586, time/size: 46.841395602 sec, localization error: 374.277609949
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112441_HDR.jpg, mathes: 35954, good: 377, delta: 35577, time/size: 71.0586841623 sec, localization error: 154.444989766
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112451_HDR.jpg, mathes: 35954, good: 343, delta: 35611, time/size: 97.5518431759 sec, localization error: 820.926753214
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112500_HDR.jpg, mathes: 35954, good: 325, delta: 35629, time/size: 80.7710258923 sec, localization error: 455.35998777
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112506_HDR.jpg, mathes: 35954, good: 324, delta: 35630, time/size: 106.627649121 sec, localization error: 734.744371077
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112513_HDR.jpg, mathes: 35954, good: 310, delta: 35644, time/size: 76.8741035783 sec, localization error: 672.04707644
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112517_HDR.jpg, mathes: 35954, good: 322, delta: 35632, time/size: 83.5474036495 sec, localization error: 386.006304447
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112526_HDR.jpg, mathes: 35954, good: 991, delta: 34963, time/size: 33.3472345121 sec, localization error: 161.00825834
img: C:\Users\Oleksii\Pictures\cvprlab1\good1\IMG_20181104_112530_HDR.jpg, mathes: 35954, good: 454, delta: 35500, time/size: 47.618320692 sec, localization error: 372.602742271
